"Date","Time","Variable","Value"
2020-01-04,"20:25:00","Glucose",98
2020-01-04,"20:30:00","Glucose",99
2020-01-04,"20:35:00","Glucose",99
2020-01-04,"20:40:00","Glucose",99
2020-01-04,"20:45:00","Glucose",99
2020-01-04,"20:50:00","Glucose",100
2020-01-04,"20:55:00","Glucose",102
2020-01-04,"21:00:00","Glucose",103
2020-01-04,"21:05:00","Glucose",104
2020-01-04,"21:10:00","Glucose",105
2020-01-04,"21:15:00","Glucose",102
2020-01-04,"21:20:00","Glucose",106
2020-01-04,"21:25:00","Glucose",104
2020-01-04,"21:30:00","Glucose",103
2020-01-04,"21:35:00","Glucose",97
2020-01-04,"21:40:00","Glucose",96
2020-01-04,"21:45:00","Glucose",98
2020-01-04,"21:50:00","Glucose",97
2020-01-04,"21:55:00","Glucose",99
2020-01-04,"22:00:00","Glucose",97
2020-01-04,"22:05:00","Glucose",96
2020-01-04,"22:10:00","Glucose",96
2020-01-04,"22:15:00","Glucose",94
2020-01-04,"22:20:00","Glucose",93
2020-01-04,"22:25:00","Glucose",91
2020-01-04,"22:30:00","Glucose",91
2020-01-04,"22:35:00","Glucose",91
2020-01-04,"22:40:00","Glucose",88
2020-01-04,"22:45:00","Glucose",84
2020-01-04,"22:50:00","Glucose",84
2020-01-04,"22:55:00","Glucose",84
2020-01-04,"23:00:00","Glucose",87
2020-01-04,"23:05:00","Glucose",89
2020-01-04,"23:10:00","Glucose",90
2020-01-04,"23:15:00","Glucose",88
2020-01-04,"23:20:00","Glucose",89
2020-01-04,"23:25:00","Glucose",88
2020-01-04,"23:30:00","Glucose",87
2020-01-04,"23:35:00","Glucose",86
2020-01-04,"23:40:00","Glucose",83
2020-01-04,"23:45:00","Glucose",80
2020-01-04,"23:50:00","Glucose",81
2020-01-04,"23:55:00","Glucose",81
2020-01-05,"00:00:00","Glucose",83
2020-01-05,"00:05:00","Glucose",84
2020-01-05,"00:10:00","Glucose",85
2020-01-05,"00:15:00","Glucose",86
2020-01-05,"00:20:00","Glucose",90
2020-01-05,"00:25:00","Glucose",94
2020-01-05,"00:30:00","Glucose",98
2020-01-05,"00:35:00","Glucose",101
2020-01-05,"00:40:00","Glucose",103
2020-01-05,"00:45:00","Glucose",104
2020-01-05,"00:50:00","Glucose",105
2020-01-05,"00:55:00","Glucose",103
2020-01-05,"01:00:00","Glucose",107
2020-01-05,"01:05:00","Glucose",104
2020-01-05,"01:10:00","Glucose",112
2020-01-05,"01:15:00","Glucose",118
2020-01-05,"01:20:00","Glucose",122
2020-01-05,"01:25:00","Glucose",131
2020-01-05,"01:30:00","Glucose",134
2020-01-05,"01:35:00","Glucose",137
2020-01-05,"01:40:00","Glucose",135
2020-01-05,"01:45:00","Glucose",133
2020-01-05,"01:50:00","Glucose",132
2020-01-05,"01:55:00","Glucose",130
2020-01-05,"02:00:00","Glucose",131
2020-01-05,"02:05:00","Glucose",133
2020-01-05,"02:10:00","Glucose",131
2020-01-05,"02:15:00","Glucose",127
2020-01-05,"02:20:00","Glucose",120
2020-01-05,"02:25:00","Glucose",122
2020-01-05,"02:30:00","Glucose",127
2020-01-05,"02:35:00","Glucose",130
2020-01-05,"02:40:00","Glucose",131
2020-01-05,"02:45:00","Glucose",130
2020-01-05,"02:50:00","Glucose",124
2020-01-05,"02:55:00","Glucose",117
2020-01-05,"03:00:00","Glucose",115
2020-01-05,"03:05:00","Glucose",111
2020-01-05,"03:10:00","Glucose",107
2020-01-05,"03:15:00","Glucose",102
2020-01-05,"03:20:00","Glucose",99
2020-01-05,"03:25:00","Glucose",92
2020-01-05,"03:30:00","Glucose",88
2020-01-05,"03:35:00","Glucose",86
2020-01-05,"03:40:00","Glucose",84
2020-01-05,"03:45:00","Glucose",87
2020-01-05,"03:50:00","Glucose",86
2020-01-05,"03:55:00","Glucose",84
2020-01-05,"04:00:00","Glucose",79
2020-01-05,"04:05:00","Glucose",72
2020-01-05,"04:10:00","Glucose",65
2020-01-05,"04:15:00","Glucose",67
2020-01-05,"04:20:00","Glucose",59
2020-01-05,"04:25:00","Glucose",54
2020-01-05,"04:30:00","Glucose",58
2020-01-05,"04:35:00","Glucose",59
2020-01-05,"04:40:00","Glucose",61
2020-01-05,"04:45:00","Glucose",63
2020-01-05,"04:50:00","Glucose",58
2020-01-05,"04:55:00","Glucose",55
2020-01-05,"05:00:00","Glucose",51
2020-01-05,"05:05:00","Glucose",49
2020-01-05,"05:10:00","Glucose",49
2020-01-05,"05:15:00","Glucose",49
2020-01-05,"05:20:00","Glucose",51
2020-01-05,"05:25:00","Glucose",54
2020-01-05,"05:30:00","Glucose",50
2020-01-05,"05:35:00","Glucose",48
2020-01-05,"05:40:00","Glucose",56
2020-01-05,"05:45:00","Glucose",52
2020-01-05,"05:50:00","Glucose",66
2020-01-05,"05:55:00","Glucose",73
2020-01-05,"06:00:00","Glucose",73
2020-01-05,"06:05:00","Glucose",79
2020-01-05,"06:10:00","Glucose",83
2020-01-05,"06:15:00","Glucose",86
2020-01-05,"06:20:00","Glucose",89
2020-01-05,"06:25:00","Glucose",85
2020-01-05,"06:30:00","Glucose",88
2020-01-05,"06:35:00","Glucose",100
2020-01-05,"06:40:00","Glucose",104
2020-01-05,"06:45:00","Glucose",111
2020-01-05,"06:50:00","Glucose",113
2020-01-05,"06:55:00","Glucose",120
